History,F,8,43.0
History,F,3,44.0
History,F,1,45.0
History,M,480,18.0
History,M,791,19.0
History,M,879,20.0
History,M,1040,21.0
History,M,1164,22.0
History,M,1294,23.0
History,M,1408,24.0
History,M,1364,25.0
History,M,1351,26.0
History,M,1214,27.0
History,M,1086,28.0
History,M,942,29.0
History,M,752,30.0
History,M,617,31.0
History,M,453,32.0
History,M,346,33.0
History,M,247,34.0
History,M,159,35.0
History,M,114,36.0
History,M,64,37.0
History,M,44,38.0
History,M,25,39.0
History,M,11,40.0
History,M,3,41.0
History,M,1,42.0
History,M,2,43.0
Horror,F,112,18.0
Horror,F,117,19.0
Horror,F,168,20.0
Horror,F,188,21.0
Horror,F,245,22.0
Horror,F,245,23.0
Horror,F,232,24.0
Horror,F,259,25.0
Horror,F,302,26.0
Horror,F,255,27.0
Horror,F,299,28.0
Horror,F,273,29.0
Horror,F,244,30.0
Horror,F,203,31.0
Horror,F,176,32.0
Horror,F,185,33.0
Horror,F,141,34.0
Horror,F,112,35.0
Horror,F,90,36.0
Horror,F,55,37.0
Horror,F,40,38.0
Horror,F,44,39.0
Horror,F,29,40.0
Horror,F,13,41.0
Horror,F,4,42.0
Horror,F,10,43.0
Horror,F,2,44.0
Horror,F,6,45.0
Horror,M,502,18.0
Horror,M,737,19.0
Horror,M,902,20.0
Horror,M,1058,21.0
Horror,M,1165,22.0
Horror,M,1338,23.0
Horror,M,1382,24.0
Horror,M,1411,25.0
Horror,M,1303,26.0
Horror,M,1191,27.0
Horror,M,1059,28.0
Horror,M,973,29.0
Horror,M,797,30.0
Horror,M,652,31.0
Horror,M,470,32.0
Horror,M,357,33.0
Horror,M,215,34.0
Horror,M,161,35.0
Horror,M,100,36.0
Horror,M,65,37.0
Horror,M,45,38.0
Horror,M,35,39.0
Horror,M,16,40.0
Horror,M,4,41.0
Horror,M,4,42.0
Horror,M,2,43.0
Musical,F,320,18.0
Musical,F,392,19.0
Musical,F,559,20.0
Musical,F,583,21.0
Musical,F,713,22.0
Musical,F,755,23.0
Musical,F,838,24.0
Musical,F,891,25.0
Musical,F,931,26.0
Musical,F,900,27.0
Musical,F,938,28.0
Musical,F,833,29.0
Musical,F,880,30.0
Musical,F,722,31.0
Musical,F,624,32.0
Musical,F,562,33.0
Musical,F,455,34.0
Musical,F,353,35.0
Musical,F,276,36.0
Musical,F,184,37.0
Musical,F,132,38.0
Musical,F,115,39.0
Musical,F,84,40.0
Musical,F,49,41.0
Musical,F,36,42.0
Musical,F,27,43.0
Musical,F,12,44.0
Musical,F,7,45.0
Musical,F,4,46.0
Musical,M,2,29.0
Musical,M,1,33.0
Mystery,F,225,18.0
Mystery,F,279,19.0
Mystery,F,386,20.0
Mystery,F,427,21.0
Mystery,F,482,22.0
Mystery,F,488,23.0
Mystery,F,588,24.0
Mystery,F,634,25.0
Mystery,F,623,26.0
Mystery,F,666,27.0
Mystery,F,649,28.0
Mystery,F,565,29.0
Mystery,F,538,30.0
Mystery,F,506,31.0
Mystery,F,421,32.0
Mystery,F,359,33.0
Mystery,F,319,34.0
Mystery,F,226,35.0
Mystery,F,195,36.0
Mystery,F,158,37.0
Mystery,F,102,38.0
Mystery,F,84,39.0
Mystery,F,67,40.0
Mystery,F,39,41.0
Mystery,F,26,42.0
Mystery,F,28,43.0
Mystery,F,11,44.0
Mystery,F,6,45.0
Mystery,F,4,46.0
Mystery,F,3,47.0
Mystery,M,536,18.0
Mystery,M,695,19.0
Mystery,M,894,20.0
Mystery,M,1066,21.0
Mystery,M,1202,22.0
Mystery,M,1283,23.0
Mystery,M,1385,24.0
Mystery,M,1396,25.0
Mystery,M,1365,26.0
Mystery,M,1226,27.0
Mystery,M,1166,28.0
Mystery,M,890,29.0
Mystery,M,744,30.0
Mystery,M,653,31.0
Mystery,M,484,32.0
Mystery,M,362,33.0
Mystery,M,267,34.0
Mystery,M,152,35.0
Mystery,M,105,36.0
Mystery,M,64,37.0
Mystery,M,40,38.0
Mystery,M,16,39.0
Mystery,M,9,40.0
Mystery,M,4,41.0
